id,city,age,service,employstatus,q1a,q1im,q2a,q2im,q3a,q3im,q4a,q4im,q5a,q5im,q6a,q6im,q7a,q7im,q8a,q8im,q9a,q9im,q10a,q10im,recommend,totsatis,servicegp3,logservice,agerecode
454,8,4,8,1,3,4,4,5,2,5,1,5,1,5,1,5,1,4,2,5,1,5,1,5,0,17,3,.903089986991944,3
431,8,4,4,1,5,4,3,4,2,1,2,2,4,3,5,4,4,2,5,5,2,2,4,4,1,36,2,.602059991327962,3
432,8,2,.5,2,5,5,5,5,5,5,4,4,5,5,5,5,4,5,5,5,5,5,5,5,1,48,1,-.301029995663981,1
433,8,4,.5,2,3,5,3,4,2,3,3,4,2,4,2,4,1,4,4,4,4,4,3,4,1,27,1,-.301029995663981,3
434,8, , ,2,4,5,5,5,3,4,3,3,3,4,4,5,3,4,5,5,5,5,4,4,1,39, , , 
435,8,2,1,1,4,5,3,5,2,5,4,5,5,5,4,5,4,5,4,5,3,5,3,5,1,36,1,0,1
436,8,5, ,2,3,5,3,4,3,3,1,3,1,1,3,3,1,2,3,4,1,1,3,3,0,22, , ,4
437,8,4,1,2,4,4,4,5,1,5,4,5,5,5,4,5,3,5,5,5,5,5,5,5,1,40,1,0,3
442,8,5,4,2,5,5,5,5,3,5,5,3,5,5,5,4,5,5,5,5,5,5,5,5,1,48,2,.602059991327962,4
445,8,4,11,1,5,4,4,4,5,4,4,5,5,5,4,4,4,3,4,5,5,5,5,5,1,45,3,1.04139268515823,3
446,8,5, ,2,4,4,4,4, ,4,3,3,3,3,4,3,5,4,5,5,3,3,4,4,1, , , ,4
447,8,4,4,1,3,4,3,4,4,4,4,5,4,5,5,5,4,4,5,5,3,4,4,4,1,39,2,.602059991327962,3
448,8,5, ,1,4,4,4,5,5,5,3,5,1,5,2,5,2,5,5,5,3,3, , ,0, , , ,4
450,8,5,1.5,1,5,4,5,5,3,3,4,3,4,4,3,3,4,4,5,4,2,3,5,5,1,40,1,.176091259055681,4
451,8,4, ,2,4,4,4,4,3,3,4,4,4,4,4,3,4,4,4,4,3,3,4,4,1,38, , ,3
452,8, ,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,50,1,0, 
