id,sex,age,marital,child,educ,source,smoke,smokenum,op1,op2,op3,op4,op5,op6,mast1,mast2,mast3,mast4,mast5,mast6,mast7,pn1,pn2,pn3,pn4,pn5,pn6,pn7,pn8,pn9,pn10,pn11,pn12,pn13,pn14,pn15,pn16,pn17,pn18,pn19,pn20,lifsat1,lifsat2,lifsat3,lifsat4,lifsat5,pss1,pss2,pss3,pss4,pss5,pss6,pss7,pss8,pss9,pss10,sest1,sest2,sest3,sest4,sest5,sest6,sest7,sest8,sest9,sest10,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12,pc13,pc14,pc15,pc16,pc17,pc18,Rop2,Rop4,Rop6,Rmast1,Rmast3,Rmast4,Rmast6,Rmast7,Rpss4,Rpss5,Rpss7,Rpss8,Rsest3,Rsest5,Rsest7,Rsest9,Rsest10,Rpc1,Rpc2,Rpc7,Rpc11,Rpc15,Rpc16,toptim,tmast,tposaff,tnegaff,tlifesat,tpstress,tslfest,tmarlow,tpcoiss,agegp3,agegp5,educrec,LG10negaff,MAH_1,COO_1,MAH_2
415,2,24,4,1,5,7,2, ,3,2,3,2,4,2,2,4,2,2,4,2,3,5,5,4,4,4,5,5,5,5,5,5,5,5,3,5,3,5,5,4,4,5,6,5,4,3,3,3,4,3,4,3,3,3,3,2,4,4,1,4,1,4,2,4,3,3,1,0,1,1,0,0,1,0,0,0,4,4,3,3,4,4,4,2,3,2,4,4,2,2,3,3,4,4,4,4,4,3,3,3,3,2,3,2,3,3,4,4,3,2,2,2,2,2,2,3,3,22,22,49,39,23,29,35,4,51,1,1,4,1.6232492903979,.958016199851603,4.53449843955693E-005,18.1006432002516
9,1,39,3,1,5,1,1,2,2,3,4,3,5,4,2,4,2,3,4,2,3,4,5,4,5,3,3,3,2,5,4,4,4,4,3,2,2,2,3,4,4,7,6,5,7,5,2,2,3,5,4,3,5,4,3,3,3,4,1,4,1,4,3,3,1,3,1,1,1,0,1,0,0,1,0,0,4,3,3,4,3,2,5,1,1,1,5,2,4,2,4,2,2,2,3,3,2,3,3,2,3,2,1,2,1,2,4,4,2,4,2,2,3,1,1,2,4,19,21,35,35,30,22,34,5,40,2,3,4,1.54406804435028,3.64075332624113,.0158523893638754,14.4820114551395
425,2,48,4,1,2,4,2, ,3,1,3,3,3,4,3,3,2,3,3,2,2,2,1,2,2,1,1,3,1,1,1,1,1,1,2,2,2,1,1,2,1,7,7,7,6,6,1,2,2,4,4,2,4,4,2,2,4,3,3,3,1,3,2,3,2,2,1,1,1,1,1,0,1,1,0,1,3,3,4,2,3,3,3,3,3,3,4,3,2,2,4,4,2,2,5,3,2,2,3,2,3,3,2,2,2,2,2,4,3,3,3,3,3,3,2,2,2,19,19,15,14,33,19,31,8,47,3,4,1,1.14612803567824,1.30741786655502,.014042483113735,14.2142913411782
307,1,41,5,1,2,1,2,0,3,1,5,3,5,1,2,4,1,1,4,1,2,5,5,3,5,2,5,5,5,5,5,5,5,4,2,5,5,5,5,3,1,7,6,7,7,6,4,3,5,5,4,3,3,4,5,3,4,4,1,4,1,4,1,4,1,1,1,1,0,0,0,0,0,1,0,0,2,2,4,5,4,4,4,3,4,4,1,3,2,2,3,2,4,2,5,3,5,3,4,4,4,3,1,2,3,2,4,4,4,4,4,4,4,2,5,3,4,26,26,49,36,33,31,40,3,63,2,4,1,1.55630250076729,1.31417610205586,.00540384947133136,14.1694105528876
440,1,23,1,2,5,1,2,0,3,2,3,2,1,3,1,4,2,1,2,2,2,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,3,3,4,3,3,2,2,3,2,3,2,4,3,3,3,2,2,2,2,4,2,3,2,3,2,1,0,1,1,0,0,0,1,0,0,1,2,2,1,2,1,2,2,3,1,3,2,1,3,2,1,1,2,4,4,3,4,3,4,3,3,4,3,2,3,3,1,2,2,3,5,4,4,3,4,5,18,23,12,11,16,27,21,4,46,1,1,4,1.04139268515823,2.71888737968259,.000375563849294638,13.7029738680639
484,2,31,4,1,5,7,2, ,2,2,2,2,3,4,1,3,2,2,3,1,2,2,1,1,3,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,3,4,3,2,4,3,2,2,2,3,2,3,2,2,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,3,4,3,2,1,4,2,3,3,3,1,4,1,4,4,1,1,4,4,2,4,3,3,4,3,2,3,2,3,3,3,2,2,2,5,3,2,3,2,2,17,23,14,12,10,21,24,10,43,2,2,4,1.07918124604762,3.75429886366276,.0135141644294967,13.565507575151
341,2,30,6,2,4,8,2,0,3,5,1,4,1,4,4,2,4,4,2,4,4,1,4,4,1,3,1,1,4,1,3,4,1,1,3,1,4,2,1,4,4,1,1,1,1,1,4,4,4,2,2,4,2,3,4,4,2,3,4,2,4,2,4,2,4,4,0,1,0,0,1,0,0,0,1,0,5,5,2,2,2,2,4,1,1,1,5,1,1,1,4,4,1,1,1,2,2,1,1,1,1,1,4,4,4,3,1,1,1,1,1,1,1,2,1,2,2,10,9,11,37,5,39,18,3,25,2,2,3,1.568201724067,12.6514286332534,.00239906974659237,12.5234418841835
300,1,23,2,2,5,1,1,100,4,1,3,1,4,2,2,4,1,2,3,3,3,1,3,4,1,2,1,1,5,1,4,4,1,2,5,2,5,1,1,4,2,5,5,5,4,6,3,3,5,3,2,5,2,1,2,5,4,4,1,4,1,3,3,3,2,2,1,1,1,0,0,0,0,1,0,0,3,4,2,2,2,2,5,1,1,1,4,1,3,1,4,2,3,2,5,5,4,3,4,3,2,2,3,4,4,5,4,4,2,3,3,3,2,1,2,2,4,25,21,12,38,25,39,34,4,35,1,1,4,1.57978359661681,5.73472307469508,.0159021603768974,12.3805241035109
61,2,18,2,2,2,2,1,40,3,4,2,4,2,4,3,2,3,3,2,4,4,2,4,4,1,4,1,1,4,1,1,1,1,1,4,1,4,1,1,4,4,2,2,2,1,1,4,4,5,2,1,4,3,2,5,5,2,2,3,2,4,1,4,1,4,4,1,1,1,1,0,0,1,0,0,0,5,4,2,2,1,2,5,2,1,1,4,1,1,1,4,4,1,2,2,2,2,2,2,2,1,1,4,5,3,4,2,1,1,1,1,1,2,1,2,2,2,13,12,11,34,8,43,18,5,27,1,1,1,1.53147891704226,9.24032169146339,.00841037233893276,12.2737012256573
24,1,23,1,2,6, ,2,0,1,3,1,4,1,5,3,1,3,3,2,4,2,2,5,5,2,4,2,2,5,2,3,4,2,2,5,2,5,2,2,5,5,1,1,1,1,1,4,5,5,1,1,5,2,1,4,4,2,2,3,3,2,1,4,1,1,1,0,0,1,0,0,1,0,0,0,0,5,5,1,1,1,1,5,1,1,1,5,1,3,1,5,5,1,1,3,2,1,2,2,2,1,3,5,5,4,5,2,3,1,4,4,1,1,1,1,1,1,9,13,20,39,5,46,23,2,20,1,1,5,1.66275783168157,11.7589862315721,.025867864828895,11.6085887907589
138,1,27,1,2,3,1,1,100,5,1,5,1,5,1,1,4,1,1,4,1,4,4,4,3,4,2,5,4,4,5,2,3,3,4,2,4,4,4,4,5,4,5,5,5,5,3,2,2,5,5,4,2,4,3,1,3,4,4,1,4,1,3,3,3,1,2,1,0,1,0,0,0,0,0,0,0,4,2,2,3,5,1,5,2,3,3,5,5,2,1,2,4,2,5,5,5,5,4,4,4,4,1,1,2,2,3,4,4,2,4,3,2,4,1,1,4,2,30,25,41,33,23,23,35,2,48,1,2,2,1.51851393987789,3.66105141694082,.00314147387653945,11.1368655542926
184,2,34,4,1,5,5,2,0,4,1,4,1,5,1,1,4,1,1,4,3,1,4,5,3,4,1,4,3,4,3,1,4,4,4,2,3,1,5,3,2,2,6,7,6,7,5,2,1,2,5,5,2,4,4,1,2,4,4,1,1,1,4,1,4,1,1,0,1,1,0,1,0,1,1,0,1,3,4,2,4,5,3,3,1,2,2,5,3,2,2,4,4,2,2,5,5,5,4,4,4,2,4,1,1,2,2,4,4,4,4,4,3,2,3,1,2,2,28,26,37,25,31,16,37,6,43,2,3,4,1.39794000867204,6.77126396686263,.0431995275193601,11.0069094415789
183,1,35,1,2,4,7,2,0,2,4,5,5,2,2,3,4,3,3,2,3,2,2,2,3,1,2,1,1,2,1,1,3,1,1,2,1,1,1,1,2,2,1,1,1,1,1,3,5,4,3,3,3,3,3,4,3,2,3,2,2,2,1,3,3,3,3,0,0,1,1,1,0,1,1,0,0,3,2,3,4,3,2,4,2,4,3,4,1,4,2,2,2,2,3,2,1,4,2,2,2,2,3,3,3,3,3,3,3,2,2,2,3,4,2,2,4,4,16,17,11,20,5,34,23,5,52,2,3,3,1.30102999566398,1.45248639408866,.000823048631356436,10.863432644693
144,2,43,4,1,2,2,2, ,4,3,3,3,4,3,3,4,2,2,4,4,4,3,5,1,1,5,5,1,4,1,5,5,1,1,1,1,5,1,1,5,5,1,1,2,2,2,4,4,4,2,1,5,1,1,1,5,4,4,1,1,1,3,4,3,3,4,0,1,1,1,0,0,0,0,0,0,3,5,1,1,1,1,5,3,1,3,3,1,4,1,5,5,1,1,3,3,3,2,3,3,1,1,4,5,5,5,4,4,1,2,1,3,1,1,3,1,1,20,18,16,39,8,42,27,3,29,2,4,1,1.61278385671974,7.21156810827418,.0199133782131563,10.7093941172121
